VCL_PROG_MIN,STR_PROG_MIN,VCL_IMM_MAX,avg_total_mae
50,0.75,4,50.29
15,0.9,6,50.37
55,0.7,11,50.38
55,0.7,10,50.38
25,0.85,13,50.39
30,0.85,3,50.48
20,0.9,4,50.51
15,0.85,12,50.53
15,0.9,7,50.54
35,0.85,5,50.55
35,0.85,7,50.59
10,0.85,14,50.6
15,0.85,14,50.6
55,0.7,12,50.6
35,0.85,6,50.62
40,0.8,10,50.62
55,0.7,14,50.66
20,0.9,6,50.66
50,0.75,13,50.66
35,0.8,12,50.68
25,0.85,2,50.72
50,0.75,10,50.74
35,0.8,14,50.75
40,0.8,13,50.77
10,0.9,8,50.8
20,0.9,7,50.82
20,0.85,12,50.82
20,0.85,14,50.88
35,0.85,4,50.9
30,0.85,11,50.91
35,0.85,9,50.93
25,0.85,12,50.98
30,0.85,13,50.99
50,0.75,11,51.0
35,0.85,8,51.03
40,0.8,11,51.05
25,0.85,14,51.05
45,0.8,9,51.08
45,0.8,5,51.13
10,0.9,9,51.13
45,0.8,7,51.17
45,0.8,8,51.17
15,0.9,8,51.19
45,0.8,6,51.2
50,0.75,12,51.25
50,0.75,14,51.32
10,0.9,3,51.32
40,0.8,12,51.37
25,0.9,5,51.4
55,0.75,9,51.42
40,0.8,14,51.43
20,0.9,8,51.47
25,0.9,6,51.47
55,0.75,5,51.47
45,0.8,4,51.5
55,0.75,7,51.52
55,0.75,8,51.52
15,0.9,9,51.53
55,0.75,6,51.54
30,0.85,12,51.58
25,0.9,7,51.61
30,0.85,14,51.65
25,0.9,4,51.69
55,0.7,3,51.74
40,0.8,3,51.78
35,0.85,10,51.8
35,0.8,2,51.81
20,0.9,9,51.81
55,0.75,4,51.84
55,0.75,13,51.9
15,0.9,3,51.9
45,0.8,10,51.94
55,0.65,2,51.97
50,0.75,3,52.0
10,0.9,10,52.0
45,0.75,2,52.01
45,0.8,13,52.04
50,0.7,2,52.14
30,0.85,2,52.16
35,0.85,13,52.17
40,0.85,9,52.2
30,0.9,5,52.2
20,0.9,3,52.22
30,0.9,7,52.24
40,0.85,5,52.25
25,0.9,8,52.26
30,0.9,6,52.27
55,0.75,11,52.28
55,0.75,10,52.28
40,0.85,7,52.29
40,0.85,8,52.29
25,0.9,9,52.32
45,0.8,11,52.32
40,0.85,6,52.32
15,0.9,10,52.39
35,0.85,11,52.45
30,0.9,4,52.49
55,0.75,12,52.5
55,0.75,14,52.56
35,0.85,3,52.6
40,0.85,4,52.61
45,0.8,12,52.63
20,0.9,10,52.68
45,0.8,14,52.7
35,0.85,12,52.76
30,0.9,9,52.78
35,0.85,14,52.83
10,0.9,11,52.84
30,0.9,8,52.87
50,0.8,9,52.92
50,0.8,5,52.98
50,0.8,7,53.02
50,0.8,8,53.02
50,0.8,6,53.05
40,0.85,10,53.06
10,0.9,13,53.07
40,0.85,13,53.16
25,0.9,10,53.18
10,0.9,2,53.18
45,0.8,3,53.2
15,0.9,13,53.2
15,0.9,11,53.26
45,0.85,9,53.32
50,0.8,4,53.34
45,0.85,5,53.37
10,0.9,12,53.38
45,0.85,8,53.41
45,0.85,7,53.41
45,0.85,6,53.44
40,0.85,11,53.44
25,0.9,3,53.47
20,0.9,13,53.48
20,0.9,11,53.55
50,0.8,13,53.6
30,0.9,10,53.64
55,0.75,3,53.64
35,0.9,5,53.7
10,0.9,14,53.73
45,0.85,4,53.74
35,0.9,7,53.74
40,0.85,12,53.75
35,0.9,6,53.76
15,0.9,2,53.77
40,0.8,2,53.78
50,0.8,10,53.79
15,0.9,12,53.79
40,0.85,14,53.81
15,0.9,14,53.86
50,0.8,11,53.96
25,0.9,13,53.99
35,0.9,9,54.0
25,0.9,11,54.05
35,0.9,4,54.06
20,0.9,12,54.08
55,0.7,2,54.1
35,0.9,8,54.1
20,0.9,14,54.14
50,0.75,2,54.15
45,0.85,10,54.18
50,0.8,12,54.2
45,0.85,13,54.2
20,0.9,2,54.22
50,0.8,14,54.26
30,0.9,3,54.28
40,0.85,3,54.35
55,0.8,9,54.37
30,0.9,13,54.39
55,0.8,5,54.43
35,0.85,2,54.45
30,0.9,11,54.45
55,0.8,7,54.47
55,0.8,8,54.47
55,0.8,6,54.5
45,0.85,11,54.54
25,0.9,12,54.59
25,0.9,14,54.65
55,0.8,4,54.79
45,0.85,12,54.8
55,0.8,13,54.86
35,0.9,10,54.86
45,0.85,14,54.86
50,0.85,9,54.96
30,0.9,12,54.98
50,0.85,5,55.05
50,0.85,7,55.05
50,0.85,8,55.05
30,0.9,14,55.05
50,0.8,3,55.08
50,0.85,6,55.08
35,0.9,13,55.18
40,0.9,9,55.22
55,0.8,11,55.24
55,0.8,10,55.24
40,0.9,5,55.28
40,0.9,8,55.32
40,0.9,7,55.32
40,0.9,6,55.35
45,0.8,2,55.36
50,0.85,4,55.41
55,0.8,12,55.45
35,0.9,11,55.46
45,0.85,3,55.47
25,0.9,2,55.47
55,0.8,14,55.52
50,0.85,13,55.63
40,0.9,4,55.64
35,0.9,12,55.77
50,0.85,10,55.82
35,0.9,14,55.83
35,0.9,3,55.86
45,0.9,9,55.97
50,0.85,11,55.99
55,0.75,2,56.0
45,0.9,5,56.03
45,0.9,8,56.07
45,0.9,7,56.07
40,0.9,13,56.09
40,0.9,10,56.09
45,0.9,6,56.1
50,0.85,12,56.23
50,0.85,14,56.29
55,0.85,9,56.33
30,0.9,2,56.35
45,0.9,4,56.39
55,0.85,8,56.42
55,0.85,5,56.42
55,0.85,7,56.42
40,0.85,2,56.44
40,0.9,11,56.45
55,0.85,6,56.45
55,0.8,3,56.59
40,0.9,12,56.69
40,0.9,14,56.75
55,0.85,4,56.78
55,0.85,13,56.81
45,0.9,10,56.84
45,0.9,13,56.84
55,0.85,11,57.19
55,0.85,10,57.19
45,0.9,11,57.2
50,0.85,3,57.24
50,0.9,9,57.28
50,0.8,2,57.34
50,0.9,5,57.37
50,0.9,8,57.37
50,0.9,7,57.37
50,0.9,6,57.4
55,0.85,12,57.41
45,0.9,12,57.44
40,0.9,3,57.44
55,0.85,14,57.47
45,0.9,14,57.5
45,0.85,2,57.73
50,0.9,4,57.73
50,0.9,13,57.95
35,0.9,2,58.08
50,0.9,10,58.14
45,0.9,3,58.19
50,0.9,11,58.31
50,0.9,12,58.55
55,0.9,9,58.56
50,0.9,14,58.61
55,0.9,7,58.65
55,0.9,8,58.65
55,0.9,5,58.65
55,0.9,6,58.68
55,0.85,3,58.68
55,0.8,2,58.95
55,0.9,13,59.04
55,0.9,4,59.08
55,0.9,10,59.42
55,0.9,11,59.42
50,0.85,2,59.5
50,0.9,3,59.63
55,0.9,12,59.64
55,0.9,14,59.7
40,0.9,2,59.8
45,0.9,2,60.55
55,0.85,2,61.04
55,0.9,3,61.08
50,0.9,2,61.99
55,0.9,2,63.44
