VCL_PROG_MIN,STR_PROG_MIN,VCL_IMM_MAX,avg_total_mae
25,0.5,11,38.7
20,0.4,7,38.71
15,0.45,3,38.74
35,0.6,5,38.74
20,0.6,9,38.76
30,0.4,11,38.77
35,0.6,7,38.78
15,0.55,8,38.79
45,0.4,7,38.8
35,0.6,6,38.81
35,0.4,13,38.82
30,0.6,3,38.83
45,0.4,6,38.83
20,0.65,3,38.83
35,0.45,13,38.83
25,0.45,10,38.84
15,0.6,8,38.84
40,0.5,10,38.84
30,0.5,13,38.85
25,0.55,11,38.86
10,0.65,4,38.87
45,0.4,8,38.88
45,0.4,9,38.88
15,0.65,6,38.89
35,0.5,13,38.9
10,0.65,5,38.9
10,0.6,7,38.92
40,0.4,3,38.92
30,0.65,8,38.93
45,0.45,5,38.95
45,0.4,4,38.96
40,0.55,5,38.99
10,0.55,7,38.99
30,0.55,11,38.99
25,0.65,3,39.01
35,0.6,4,39.02
40,0.55,7,39.03
15,0.65,3,39.04
40,0.45,3,39.06
45,0.45,7,39.06
40,0.55,6,39.06
45,0.45,6,39.09
40,0.55,9,39.11
40,0.55,8,39.11
45,0.45,9,39.13
45,0.45,8,39.14
40,0.4,11,39.14
40,0.45,11,39.15
15,0.4,2,39.17
20,0.45,8,39.18
15,0.65,7,39.18
25,0.6,10,39.2
35,0.6,8,39.21
35,0.6,9,39.21
45,0.5,5,39.22
20,0.65,8,39.23
15,0.4,4,39.24
45,0.45,4,39.24
10,0.45,2,39.26
45,0.5,7,39.26
25,0.65,9,39.27
15,0.5,8,39.28
40,0.55,4,39.28
45,0.5,6,39.29
30,0.55,13,39.31
25,0.4,10,39.31
30,0.45,13,39.31
10,0.65,3,39.31
40,0.45,13,39.32
20,0.7,5,39.32
40,0.4,13,39.32
30,0.5,12,39.32
45,0.5,8,39.33
25,0.7,5,39.33
45,0.5,9,39.33
30,0.6,10,39.34
40,0.5,11,39.37
10,0.5,6,39.38
40,0.5,13,39.39
35,0.45,12,39.42
35,0.4,12,39.42
20,0.7,4,39.43
35,0.55,11,39.44
30,0.65,9,39.44
15,0.55,9,39.48
15,0.4,5,39.48
35,0.45,14,39.49
35,0.5,12,39.49
45,0.5,4,39.5
30,0.5,14,39.5
25,0.55,13,39.51
20,0.55,10,39.51
25,0.5,13,39.53
15,0.6,9,39.53
40,0.5,3,39.54
30,0.6,2,39.55
35,0.55,2,39.55
35,0.5,14,39.56
15,0.4,3,39.56
25,0.7,6,39.57
30,0.45,12,39.58
30,0.4,13,39.6
25,0.7,4,39.61
15,0.45,6,39.61
35,0.4,14,39.64
10,0.45,4,39.64
20,0.4,8,39.65
10,0.65,6,39.68
10,0.5,7,39.68
10,0.6,8,39.7
25,0.5,12,39.72
40,0.4,2,39.72
25,0.7,7,39.74
20,0.5,10,39.76
35,0.55,13,39.77
25,0.55,12,39.78
30,0.4,12,39.79
45,0.4,10,39.83
25,0.45,11,39.83
20,0.6,10,39.85
40,0.45,2,39.86
20,0.45,9,39.87
20,0.65,2,39.88
10,0.45,5,39.88
10,0.65,2,39.88
15,0.45,7,39.9
10,0.55,8,39.91
40,0.4,12,39.91
30,0.55,12,39.91
